time, seq_cnt, nlos, distance, azimuth, azimuth_fom, elevation, elevation_fom, pdoa1, pdoa2,,
20:11.7,1,0,123,32.3,100,-60,100,-87.9,-126.2,,
20:12.2,2,0,124,30.9,100,-60,100,-86,-125.2,,
20:12.7,3,0,127,32.7,100,-60,100,-88.4,-123.2,,
20:13.2,4,0,120,35.1,100,-60,100,-91.8,-124.2,,
20:13.7,5,1,121,41.3,100,-60,100,-102.9,-126.8,,
20:14.2,6,0,124,36.3,100,-60,100,-93.6,-122.6,,
20:14.7,7,1,123,27.9,100,-60,100,-81.7,-126.2,,
20:15.2,8,1,122,40.4,100,-60,100,-101.2,-127.3,,
20:15.7,9,1,125,38.9,100,-60,100,-98.4,-123.7,,
20:16.2,10,0,126,39.3,100,-60,100,-99.2,-125.3,,
20:16.7,11,1,122,38.9,100,-60,100,-98.4,-121.7,,
20:17.2,12,1,123,40.2,100,-60,100,-100.8,-125.2,,
20:17.7,13,1,123,29.4,100,-59.8,100,-83.7,-121.9,,
20:18.2,14,1,123,39.7,100,-60,100,-99.9,-118.2,,
20:18.7,15,0,123,32.5,100,-60,100,-88.2,-126,,
20:19.2,16,1,123,40.4,100,-60,100,-101.2,-118.6,,
20:19.7,17,0,119,36.6,100,-59.8,100,-94.2,-121.8,,
20:20.2,18,0,123,32.8,100,-59.7,100,-88.5,-121.7,,
20:20.7,19,0,125,31.6,100,-59.3,100,-86.8,-121.1,,
20:21.2,20,0,119,37.9,100,-60,100,-96.7,-123.4,,
20:21.7,21,1,122,39.7,100,-60,100,-99.9,-119.9,,
20:22.2,22,0,122,30.4,100,-59.6,100,-85.1,-121.6,,
20:22.7,23,1,119,30.7,100,-60,100,-85.6,-124.5,,
20:23.2,24,0,117,37.8,100,-60,100,-96.4,-120.5,,
20:23.7,25,1,118,41.8,100,-60,100,-103.8,-120.9,,
20:24.2,26,1,120,31.4,100,-59.6,100,-86.6,-121.5,,
20:24.7,27,1,124,30.5,100,-60,100,-85.3,-123.5,,
20:25.2,28,1,119,33.3,100,-59.6,100,-89.2,-121.6,,
20:25.7,29,1,123,42.7,100,-60,100,-105.6,-122.8,,
20:26.2,30,0,123,38.9,100,-60,100,-98.4,-123.7,,
20:26.7,31,1,122,40.6,100,-60,100,-101.5,-118.5,,
20:27.2,32,0,125,38.6,100,-60,100,-97.9,-124.4,,
20:27.7,33,0,124,38.7,100,-60,100,-98.2,-118.7,,
20:28.2,34,0,122,37.4,100,-60,100,-95.7,-123.5,,
20:28.7,35,1,123,28.8,100,-60,100,-83,-122.5,,
20:29.2,36,1,118,39.8,100,-60,100,-100.2,-122.9,,
20:29.7,37,1,122,29.8,100,-60,100,-84.4,-123.4,,
20:30.2,38,0,124,38.3,100,-60,100,-97.3,-119.1,,
20:30.7,39,0,125,38.8,100,-60,100,-98.2,-117,,
20:31.2,40,1,120,30.1,100,-60,100,-84.9,-125.7,,
20:31.7,41,0,120,37.9,100,-60,100,-96.5,-124.1,,
20:32.2,42,0,120,33.1,100,-60,100,-89,-125.9,,
