time, seq_cnt, nlos, distance, azimuth, azimuth_fom, elevation, elevation_fom, rssi, pdoa1, pdoa2
2025-12-18 16:57:23.957,175,0,104,-18.5,100,-52.2,100,-80.5,44.5,-91.2
2025-12-18 16:57:25.544,0,0,94,-20.7,100,-53.8,100,-80.0,51.0,-93.7
2025-12-18 16:57:25.744,1,0,106,-18.1,100,-55.5,100,-79.5,45.0,-94.5
2025-12-18 16:57:25.939,2,0,96,-18.3,100,-55.0,100,-80.5,45.5,-94.2
2025-12-18 16:57:26.134,3,0,102,-17.5,100,-55.4,100,-79.5,43.7,-94.2
2025-12-18 16:57:26.344,4,0,104,-17.9,100,-55.2,100,-80.0,44.5,-94.2
2025-12-18 16:57:26.544,5,0,93,-17.5,100,-58.2,100,-80.5,44.8,-97.0
2025-12-18 16:57:26.744,6,0,98,-19.2,100,-58.1,100,-80.0,48.8,-98.4
2025-12-18 16:57:26.939,7,0,105,-17.7,100,-55.7,100,-81.0,44.2,-94.6
2025-12-18 16:57:27.149,8,0,98,-18.3,100,-54.2,100,-79.5,45.2,-93.3
2025-12-18 16:57:27.344,9,0,97,-17.8,100,-58.3,100,-79.5,45.5,-97.2
2025-12-18 16:57:27.544,10,0,99,-21.3,100,-52.3,100,-80.5,51.8,-91.7
2025-12-18 16:57:27.744,11,0,95,-17.5,100,-56.5,100,-80.0,44.0,-95.2
2025-12-18 16:57:27.954,12,0,96,-20.4,100,-56.2,100,-80.0,51.1,-96.9
2025-12-18 16:57:28.149,13,0,104,-16.9,100,-58.8,100,-80.5,43.4,-96.8
2025-12-18 16:57:28.343,14,0,98,-18.0,100,-58.9,100,-80.0,46.4,-98.1
2025-12-18 16:57:28.543,15,0,97,-18.8,100,-59.7,100,-80.0,48.3,-99.9
2025-12-18 16:57:28.744,16,0,94,-17.4,100,-57.0,100,-81.0,44.0,-95.6
2025-12-18 16:57:28.954,17,0,102,-17.4,100,-58.1,100,-80.5,44.5,-96.7
2025-12-18 16:57:29.149,18,0,93,-19.3,100,-56.2,100,-81.0,48.3,-96.2
2025-12-18 16:57:29.344,19,0,97,-18.0,100,-59.4,100,-82.0,46.4,-98.6
2025-12-18 16:57:29.544,20,0,102,-19.1,100,-54.1,100,-80.0,46.9,-93.6
2025-12-18 16:57:29.744,21,0,99,-18.0,100,-55.4,100,-80.0,44.8,-94.4
2025-12-18 16:57:29.939,22,0,95,-17.9,100,-55.5,100,-80.5,44.6,-94.5
2025-12-18 16:57:30.149,23,0,96,-17.8,100,-60.0,100,-80.5,46.2,-100.1
2025-12-18 16:57:30.354,24,0,101,-18.1,100,-55.5,100,-80.0,45.0,-94.6
2025-12-18 16:57:30.554,25,0,101,-17.6,100,-55.4,100,-80.0,43.7,-94.2
2025-12-18 16:57:30.744,26,0,101,-18.6,100,-57.3,100,-80.5,47.2,-96.9
